ms,sensor1
1519167,0.442
1520178,0.438
1521189,0.446
1522200,0.445
1523211,0.445
1524222,0.442
1525233,0.449
1526244,0.444
1527255,0.444
1528266,0.454
1529277,0.445
1530288,0.448
1531299,0.452
1532314,0.449
1533325,0.443
1534336,0.442
1535347,0.445
1536358,0.444
1537369,0.443
1538380,0.447
1539391,0.446
1540402,0.447
1541413,0.443
1542424,0.443
1543435,0.449
1544446,0.449
1545457,0.444
1546468,0.451
1547479,0.446
1548490,0.441
1549501,0.443
1550512,0.446
1551523,0.439
1552534,0.446
1553545,0.453
1554556,0.446
1555567,0.443
1556582,0.449
1557593,0.442
1558604,0.445
1559615,0.441
1560626,0.449
1561637,0.446
1562648,0.439
1563669,0.458
1564705,0.442
1565716,0.446
1566727,0.445
1567738,0.449
1568749,0.442
1569760,0.435
1570771,0.446
1571782,0.442
1572793,0.445
1573804,0.438
1574815,0.451
1575826,0.445
1576837,0.442
1577848,0.433
1578859,0.446
1579870,0.441
1580881,0.442
1581896,0.442
1582907,0.445
1583918,0.437
1584929,0.445
1585940,0.445
1586951,0.449
1587962,0.445
1588973,0.442
1589984,0.446
1590995,0.45
1592006,0.448
1593017,0.449
1594028,0.442
1595039,0.445
1596050,0.439
1597061,0.454
1598072,0.448
1599083,0.445
1600094,0.442
1601105,0.448
1602116,0.431
1603127,0.441
1604138,0.445
1605149,0.441
1606164,0.445
1607175,0.446
1608186,0.447
1609197,0.445
1610208,0.442
1611219,0.443
1612230,0.441
1613241,0.449
1614252,0.449
1615263,0.451
1616274,0.45
1617285,0.446
1618296,0.439
1619307,0.442
1620318,0.445
1621329,0.442
1622340,0.457
1623351,0.438
1624362,0.445
1625373,0.449
1626384,0.449
1627395,0.435
1628406,0.449
1629417,0.449
1630444,0.446
1631458,0.448
1632472,0.448
1633486,0.449
1634500,0.442
1635514,0.445
1636528,0.449
1637542,0.442
1638556,0.445
1639570,0.443
1640584,0.438
1641598,0.447
1642612,0.447
1643626,0.44
1644640,0.443
1645654,0.442
1646668,0.443
1647682,0.442
1648696,0.443
1649710,0.442
1650724,0.443
1651738,0.444
1652752,0.438
1653766,0.444
1654780,0.444
1655798,0.447
1656812,0.442
1657826,0.442
1658840,0.443
1659854,0.437
1660868,0.447
1661882,0.447
1662896,0.441
1663910,0.451
1664924,0.442
1665938,0.446
1666952,0.434
1667966,0.444
1668980,0.448
1669994,0.461
1671008,0.445
1672022,0.44
1673036,0.443
1674050,0.446
1675064,0.448
1676078,0.438
1677092,0.445
1678106,0.442
1679120,0.439
1680137,0.446
1681151,0.439
1682165,0.442
1683179,0.444
1684193,0.444
1685207,0.441
1686221,0.448
1687235,0.442
1688249,0.448
1689263,0.45
1690277,0.444
1691291,0.449
1692322,0.445
1693336,0.447
1694350,0.445
1695364,0.438
1696378,0.441
1697392,0.448
1698406,0.444
1699420,0.442
1700434,0.442
1701448,0.443
1702462,0.443
1703476,0.439
1704488,0.442
1705502,0.445
1706516,0.442
1707530,0.442
1708544,0.442
1709558,0.445
1710572,0.445
1711586,0.442
1712600,0.449
1713614,0.441
1714628,0.444
1715642,0.442
1716656,0.447
1717670,0.447
1718684,0.443
1719698,0.444
1720712,0.446
1721726,0.441
1722740,0.445
1723754,0.445
1724768,0.452
1725782,0.437
1726796,0.435
1727810,0.451
1728824,0.442
1729841,0.445
1730855,0.445
1731869,0.438
1732883,0.445
1733897,0.442
1734911,0.442
1735925,0.444
1736939,0.434
1737953,0.442
1738967,0.444
1739981,0.445
1740995,0.458
1742009,0.446
1743023,0.447
1744037,0.447
1745051,0.442
1746065,0.442
1747079,0.444
1748093,0.449
1749107,0.444
1750121,0.444
1751135,0.437
1752149,0.444
1753163,0.443
1754180,0.441
1755194,0.442
1756208,0.444
1757222,0.453
1758236,0.439
1759250,0.441
1760264,0.444
1761278,0.44
1762292,0.435
1763306,0.444
1764320,0.437
1765334,0.445
1766348,0.451
1767362,0.445
1768376,0.445
1769390,0.445
1770404,0.442
1771418,0.439
1772432,0.444
1773446,0.442
1774460,0.442
1775474,0.447
1776488,0.448
1777502,0.442
1778516,0.445
1779534,0.438
1780548,0.445
1781562,0.442
1782576,0.437
1783590,0.442
1784604,0.442
1785618,0.437
1786632,0.442
1787646,0.435
1788660,0.437
1789699,0.444
1790713,0.447
1791727,0.445
1792741,0.429
1793755,0.442
1794769,0.445
1795783,0.442
1796797,0.441
1797811,0.446
1798825,0.446
1799839,0.446
1800853,0.445
1801867,0.435
1802881,0.449
1803898,0.442
1804912,0.439
1805926,0.444
1806940,0.438
1807954,0.441
1808968,0.444
1809982,0.443
1810996,0.442
1812010,0.443
1813024,0.446
1814038,0.449
1815052,0.442
1816066,0.442
1817080,0.449
1818104,0.442
1819118,0.445
1820132,0.445
1821146,0.442
1822160,0.447
1823174,0.448
1824188,0.444
1825202,0.447
1826216,0.435
1827230,0.439
1828247,0.444
1829261,0.442
1830275,0.444
1831289,0.449
1832303,0.446
1833317,0.448
1834331,0.434
1835345,0.45
1836359,0.446
1837373,0.442
1838387,0.444
1839401,0.445
1840415,0.444
1841429,0.446
1842443,0.444
1843457,0.442
1844471,0.444
1845485,0.442
1846499,0.442
1847513,0.439
1848527,0.442
1849541,0.451
1850555,0.444
1851569,0.446
1852583,0.441
1853601,0.445
1854615,0.444
1855629,0.444
1856643,0.446
1857657,0.442
1858671,0.443
1859685,0.439
1860699,0.441
1861713,0.453
1862727,0.447
1863741,0.442
1864755,0.448
1865769,0.442
1866783,0.442
1867797,0.446
1868811,0.442
1869825,0.45
1870839,0.446
1871853,0.445
1872867,0.449
1873881,0.441
1874895,0.442
1875909,0.441
1876923,0.444
1877941,0.432
1878955,0.442
1879969,0.445
1880983,0.441
1881997,0.438
1883011,0.434
1884025,0.427
1885039,0.438
1886053,0.442
1887067,0.442
1888081,0.444
1889095,0.447
1890109,0.439
