ms,electrode
1338078,0.481
1339089,0.492
1340100,0.494
1341111,0.495
1342122,0.493
1343133,0.492
1344144,0.485
1345155,0.496
1346166,0.496
1347177,0.481
1348188,0.490
1349199,0.496
1350210,0.497
1351225,0.488
1352236,0.487
1353247,0.493
1354258,0.488
1355269,0.489
1356280,0.499
1357291,0.492
1358302,0.497
1359313,0.487
1360324,0.496
1361335,0.489
1362346,0.488
1363357,0.483
1364368,0.494
1365379,0.497
1366390,0.482
1367401,0.484
1368412,0.496
1369423,0.478
1370434,0.485
1371445,0.487
1372494,0.492
1373505,0.485
1374516,0.476
1375527,0.488
1376538,0.505
1377549,0.472
1378560,0.469
1379571,0.482
1380582,0.485
1381593,0.478
1382604,0.487
1383615,0.479
1384626,0.480
1385641,0.490
1386652,0.481
1387663,0.496
1388674,0.480
1389685,0.477
1390696,0.477
1391707,0.474
1392718,0.475
1393729,0.475
1394740,0.477
1395751,0.485
1396762,0.480
1397773,0.493
1398784,0.488
1399795,0.490
1400806,0.484
1401817,0.485
1402828,0.489
1403839,0.477
1404850,0.483
1405861,0.481
1406872,0.484
1407883,0.474
1408894,0.491
1409905,0.477
1410916,0.487
1411927,0.476
1412938,0.477
1413949,0.473
1414960,0.473
1415971,0.473
1416982,0.482
1418003,0.480
1419014,0.474
1420029,0.481
1421040,0.484
1422051,0.476
1423062,0.475
1424073,0.478
1425084,0.470
1426095,0.475
1427106,0.465
1428117,0.478
1429128,0.477
1430139,0.468
1431150,0.478
1432161,0.473
1433172,0.476
1434183,0.472
1435194,0.476
1436205,0.467
1437216,0.471
1438227,0.472
1439238,0.466
1440249,0.478
1441260,0.469
1442271,0.479
1443282,0.472
1444293,0.472
1445304,0.465
1446315,0.465
1447326,0.469
1448337,0.457
1449348,0.469
1450367,0.476
1451378,0.473
1452389,0.480
1453400,0.485
1454415,0.484
1455426,0.494
1456437,0.477
1457448,0.474
1458459,0.478
1459470,0.486
1460481,0.481
1461492,0.502
1462503,0.488
1463514,0.484
1464534,0.496
1465545,0.500
1466556,0.516
1467567,0.506
1468578,0.511
